epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3413.01,0.53828,0.34716,0.87486,0.88641,0.79004,0.84813,0.58409,1.09092,0.66647,1.28784,0.000321693,0.000321693,0.000321693
113,3443.46,0.56786,0.36477,0.87922,0.84774,0.83037,0.85417,0.5972,1.08407,0.62271,1.2791,0.000318158,0.000318158,0.000318158
114,3474,0.55529,0.36307,0.87453,0.84517,0.80097,0.83932,0.59777,1.07998,0.67642,1.2835,0.000314624,0.000314624,0.000314624
115,3504.51,0.53558,0.34611,0.87106,0.87684,0.82465,0.84847,0.60026,1.04217,0.60923,1.25725,0.00031109,0.00031109,0.00031109
116,3535.05,0.54575,0.35294,0.8693,0.80936,0.82254,0.84149,0.58955,1.08155,0.65692,1.2802,0.000307555,0.000307555,0.000307555
117,3565.53,0.53085,0.34724,0.86642,0.83708,0.78166,0.83024,0.58986,1.05911,0.6708,1.26231,0.000304021,0.000304021,0.000304021
118,3595.84,0.54661,0.35389,0.86635,0.84699,0.81571,0.83633,0.58976,1.08496,0.63321,1.28902,0.000300487,0.000300487,0.000300487
119,3626.32,0.53149,0.33363,0.87409,0.85305,0.79701,0.83664,0.59591,1.07741,0.69351,1.28423,0.000296953,0.000296953,0.000296953
120,3656.73,0.54071,0.35451,0.87163,0.81571,0.82096,0.83518,0.59223,1.06838,0.67307,1.26198,0.000293418,0.000293418,0.000293418
121,3687.26,0.53032,0.34457,0.86409,0.83904,0.81432,0.84117,0.5923,1.07897,0.63323,1.27983,0.000289884,0.000289884,0.000289884
122,3717.44,0.50682,0.33754,0.86136,0.85131,0.80272,0.83438,0.58496,1.07241,0.66558,1.26752,0.00028635,0.00028635,0.00028635
123,3747.76,0.52523,0.34283,0.86856,0.85359,0.81103,0.84608,0.5939,1.0819,0.67102,1.28507,0.000282815,0.000282815,0.000282815
124,3778.02,0.51684,0.33598,0.86823,0.85194,0.78531,0.82287,0.58185,1.05077,0.66272,1.26387,0.000279281,0.000279281,0.000279281
125,3808.26,0.52295,0.33648,0.86829,0.88043,0.80364,0.85483,0.59738,1.06988,0.64688,1.27118,0.000275747,0.000275747,0.000275747
126,3838.6,0.52484,0.34301,0.87339,0.86277,0.79936,0.84011,0.58801,1.07,0.64655,1.27921,0.000272212,0.000272212,0.000272212
127,3869.01,0.51122,0.33248,0.86297,0.83914,0.80338,0.83555,0.59458,1.06122,0.67084,1.27007,0.000268678,0.000268678,0.000268678
128,3899.51,0.50503,0.32642,0.86554,0.85983,0.77242,0.82002,0.578,1.06911,0.72196,1.27943,0.000265144,0.000265144,0.000265144
129,3929.88,0.51325,0.33516,0.86402,0.83353,0.79561,0.83619,0.59656,1.05717,0.69199,1.27345,0.00026161,0.00026161,0.00026161
130,3960.2,0.5134,0.32586,0.86802,0.83907,0.80884,0.83246,0.59261,1.07144,0.65099,1.28596,0.000258075,0.000258075,0.000258075
131,3990.57,0.53518,0.34113,0.86238,0.85034,0.82146,0.84633,0.60083,1.05537,0.63145,1.28116,0.000254541,0.000254541,0.000254541
132,4020.98,0.52009,0.33517,0.85959,0.83773,0.82687,0.83475,0.59153,1.05331,0.6551,1.27237,0.000251007,0.000251007,0.000251007
133,4051.51,0.5164,0.33991,0.86005,0.84817,0.81696,0.83619,0.58614,1.07156,0.64173,1.29894,0.000247472,0.000247472,0.000247472
134,4081.95,0.51055,0.33429,0.85845,0.81667,0.83513,0.83392,0.58979,1.06094,0.64292,1.29503,0.000243938,0.000243938,0.000243938
135,4112.35,0.50015,0.32179,0.86066,0.84587,0.81409,0.84485,0.59448,1.06903,0.63797,1.28744,0.000240404,0.000240404,0.000240404
136,4142.73,0.4903,0.32445,0.85986,0.85774,0.82632,0.85296,0.60593,1.0429,0.65224,1.27401,0.000236869,0.000236869,0.000236869
137,4173.34,0.49966,0.33086,0.85916,0.8541,0.79949,0.83931,0.60336,1.03923,0.64582,1.27731,0.000233335,0.000233335,0.000233335
138,4203.78,0.47497,0.30078,0.86254,0.85134,0.78981,0.8369,0.59293,1.03968,0.65463,1.29249,0.000229801,0.000229801,0.000229801
139,4234.26,0.50234,0.32759,0.87102,0.83454,0.81568,0.8366,0.59889,1.044,0.65001,1.27619,0.000226267,0.000226267,0.000226267
140,4264.69,0.495,0.32149,0.85682,0.84907,0.82579,0.83919,0.60133,1.04036,0.64839,1.27849,0.000222732,0.000222732,0.000222732
141,4295.07,0.48862,0.31676,0.86026,0.85838,0.7969,0.83961,0.6053,1.04773,0.66034,1.27527,0.000219198,0.000219198,0.000219198
142,4325.37,0.50422,0.33176,0.85959,0.85884,0.80052,0.84752,0.59668,1.05248,0.63649,1.27335,0.000215664,0.000215664,0.000215664
143,4355.74,0.49322,0.32039,0.8636,0.86597,0.79861,0.85285,0.60313,1.04782,0.6281,1.28144,0.000212129,0.000212129,0.000212129
144,4386.11,0.47843,0.31224,0.85664,0.83148,0.8383,0.83972,0.60125,1.04189,0.63562,1.29093,0.000208595,0.000208595,0.000208595
145,4416.45,0.47743,0.3141,0.85087,0.83282,0.81318,0.83571,0.59891,1.04263,0.64354,1.29196,0.000205061,0.000205061,0.000205061
146,4447,0.48917,0.3187,0.85565,0.86248,0.80703,0.84846,0.60789,1.07147,0.63791,1.30855,0.000201527,0.000201527,0.000201527
147,4477.31,0.47577,0.31184,0.86202,0.85198,0.79954,0.8439,0.60641,1.06449,0.64202,1.29996,0.000197992,0.000197992,0.000197992
148,4507.81,0.49877,0.31377,0.8609,0.85251,0.80645,0.84026,0.60258,1.05458,0.63005,1.3032,0.000194458,0.000194458,0.000194458
149,4538.25,0.48028,0.32169,0.8613,0.85108,0.80292,0.83318,0.59135,1.04903,0.66404,1.29113,0.000190924,0.000190924,0.000190924
150,4568.63,0.47299,0.30828,0.84999,0.85447,0.80182,0.84211,0.60064,1.0393,0.63376,1.28959,0.000187389,0.000187389,0.000187389
151,4599,0.47269,0.31466,0.86111,0.86259,0.81281,0.84945,0.60242,1.0299,0.62652,1.27296,0.000183855,0.000183855,0.000183855
152,4629.4,0.48131,0.31276,0.8519,0.83876,0.80898,0.84503,0.60332,1.03426,0.63142,1.27291,0.000180321,0.000180321,0.000180321
153,4659.9,0.46857,0.31115,0.8495,0.84528,0.81984,0.84542,0.60417,1.04516,0.64638,1.28335,0.000176786,0.000176786,0.000176786
154,4690.25,0.46434,0.29626,0.85469,0.84361,0.80375,0.83726,0.60547,1.04883,0.65209,1.28905,0.000173252,0.000173252,0.000173252
155,4720.69,0.46003,0.30049,0.84778,0.83732,0.81715,0.8402,0.60188,1.04626,0.66064,1.29212,0.000169718,0.000169718,0.000169718
156,4751.06,0.46458,0.29994,0.85362,0.83988,0.81724,0.84586,0.6032,1.04156,0.64833,1.28688,0.000166183,0.000166183,0.000166183
157,4781.45,0.46598,0.31297,0.85891,0.86847,0.79758,0.83899,0.59664,1.04935,0.65413,1.28891,0.000162649,0.000162649,0.000162649
158,4811.77,0.47368,0.31679,0.85807,0.84165,0.80703,0.83834,0.59464,1.04272,0.64255,1.29689,0.000159115,0.000159115,0.000159115
159,4842.3,0.44886,0.29688,0.84063,0.83774,0.82406,0.84252,0.59609,1.03765,0.64489,1.28698,0.000155581,0.000155581,0.000155581
160,4872.56,0.46903,0.30113,0.84866,0.82121,0.82698,0.83608,0.59284,1.04484,0.64589,1.30283,0.000152046,0.000152046,0.000152046
161,4902.82,0.43534,0.29047,0.84832,0.87409,0.78965,0.84351,0.59787,1.04168,0.64049,1.2998,0.000148512,0.000148512,0.000148512
162,4933.07,0.45634,0.29476,0.85131,0.87518,0.80031,0.84097,0.60126,1.02668,0.63194,1.2842,0.000144978,0.000144978,0.000144978
163,4963.28,0.46056,0.30324,0.85101,0.84486,0.80906,0.83398,0.59467,1.02579,0.65313,1.28059,0.000141443,0.000141443,0.000141443
164,4993.56,0.46648,0.29731,0.85003,0.84761,0.81176,0.84081,0.59449,1.04475,0.66212,1.30206,0.000137909,0.000137909,0.000137909
165,5024.07,0.45115,0.29388,0.84415,0.84212,0.81497,0.8426,0.59692,1.02431,0.65323,1.28837,0.000134375,0.000134375,0.000134375
166,5054.53,0.44692,0.28882,0.83767,0.85322,0.80406,0.838,0.59173,1.02996,0.65244,1.29519,0.000130841,0.000130841,0.000130841
167,5085.03,0.45102,0.29164,0.84996,0.86533,0.78969,0.83796,0.59338,1.0255,0.65908,1.28796,0.000127306,0.000127306,0.000127306
168,5115.48,0.45832,0.30447,0.84379,0.87085,0.79011,0.83819,0.59165,1.03988,0.64035,1.29634,0.000123772,0.000123772,0.000123772
169,5145.94,0.4379,0.29236,0.84736,0.85602,0.79574,0.83383,0.59111,1.04127,0.65475,1.30217,0.000120238,0.000120238,0.000120238
170,5176.42,0.43859,0.28545,0.84971,0.8172,0.80506,0.82986,0.59476,1.03835,0.6615,1.30596,0.000116703,0.000116703,0.000116703
171,5206.99,0.45087,0.29975,0.84313,0.82164,0.80797,0.82445,0.5933,1.03946,0.6551,1.29242,0.000113169,0.000113169,0.000113169
172,5237.44,0.44626,0.29328,0.84941,0.80847,0.83188,0.83782,0.59709,1.02746,0.63546,1.29982,0.000109635,0.000109635,0.000109635
173,5268.04,0.43459,0.28954,0.84791,0.80914,0.81678,0.83886,0.60003,1.03052,0.65489,1.30584,0.0001061,0.0001061,0.0001061
174,5298.42,0.43819,0.29225,0.84316,0.83395,0.80661,0.83269,0.59264,1.03723,0.64749,1.3126,0.000102566,0.000102566,0.000102566
175,5328.91,0.43819,0.28837,0.84048,0.81408,0.81265,0.83105,0.59413,1.0386,0.65134,1.31069,9.90318e-05,9.90318e-05,9.90318e-05
176,5359.36,0.44761,0.29002,0.85006,0.80948,0.81823,0.83077,0.59427,1.03587,0.65697,1.30419,9.54975e-05,9.54975e-05,9.54975e-05
177,5389.78,0.44313,0.28604,0.84329,0.81751,0.81995,0.83758,0.59774,1.03307,0.65798,1.29928,9.19632e-05,9.19632e-05,9.19632e-05
178,5420.28,0.43478,0.28851,0.839,0.84825,0.79149,0.83327,0.59537,1.04145,0.65139,1.31074,8.84289e-05,8.84289e-05,8.84289e-05
179,5450.56,0.42061,0.28107,0.83466,0.84976,0.7873,0.83028,0.59507,1.0482,0.66369,1.31439,8.48946e-05,8.48946e-05,8.48946e-05
180,5480.77,0.43519,0.2895,0.84267,0.8453,0.79499,0.83338,0.59759,1.04347,0.6474,1.31157,8.13603e-05,8.13603e-05,8.13603e-05
